Timestamp,Comment Count,Sentiment Type,Sentiment Score,Video Type
2024-11-15 03:19:38,310,Positive,0.9989,Positive
2024-11-15 03:34:41,320,Positive,0.9994,Positive
2024-11-15 03:49:44,326,Positive,0.9992,Positive
2024-11-15 03:53:41,328,Positive,0.9991,Positive
2024-11-15 04:12:39,339,Positive,0.9977,Positive
2024-11-15 04:28:07,342,Positive,0.9979,Positive
2024-11-15 04:43:16,344,Positive,0.9975,Positive
2024-11-15 04:58:27,351,Positive,0.9988,Positive
2024-11-15 05:13:35,357,Positive,0.9981,Positive
2024-11-15 05:28:44,361,Positive,0.999,Positive
2024-11-15 05:43:52,370,Positive,0.9995,Positive
2024-11-15 05:59:00,376,Positive,0.9987,Positive
2024-11-15 06:17:36,383,Positive,0.9979,Positive
2024-11-15 06:32:50,387,Positive,0.9989,Positive
